name,address,website,phone_number,reviews_count,reviews_average
Jaslok Hospital & Research Centre,"15, Pedder Rd, IT Colony, Tardeo, Mumbai, Maharashtra 400026",jaslokhospital.net,,10791,4.8
Nanavati Max Super Speciality Hospital,"Nanavati Max Super Speciality Hospital, Swami Vivekananda Rd, next to Suresh Colony, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056",nanavatimaxhospital.org,022 6836 0000,10791,4.8
Apollo Spectra Hospitals,"Famous Cine Labs 156, behind Everest Building, Tardeo, Mumbai, Maharashtra 400034",apollospectra.com,084484 40991,10791,4.8
Jai Hind Hospital & ICCU,"K School, 162, PL Lokhande Marg, opposite Mighty Commercial Complex & R.B, Gautam Nagar, Govandi East, Mumbai, Maharashtra 400043",zarqhealthcare.in,088282 62542,10791,4.8
Lilavati Hospital And Research Centre,"A-791, A-791, Bandra Reclamation Rd, General Arunkumar Vaidya Nagar, Bandra West, Mumbai, Maharashtra 400050",lilavatihospital.com,022 6930 1000,10791,4.8
S L Raheja Hospital,"Raheja Rugnalaya Marg, Mahim West, Mahim, Mumbai, Maharashtra 400016",rahejahospital.com,022 6987 1211,10791,4.8
"CritiCare Asia Hospital -Cashless, Emergency, 24 Hrs Hospital in Kurla West","Building No 1, Kirol Road, Kirol Rd, off Lal Bahadur Shastri Marg, near Kohinoor International School, Ali Yavar Jung, Kurla West, Kurla, Mumbai, Maharashtra 400070",criticareasiahospital.com,022 6755 6755,10791,4.8
Kokilaben Hospital,"Kokilaben Hospital, Rao Saheb, Rao Saheb Achutrao Patwardhan Marg, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053",kokilabenhospital.com,022 4269 6969,10791,4.8
Balaji Hospital.,"XRGP+W45, Cross Lane III, Sant Savata Mali Marg, Byculla East, Mumbai, Maharashtra 400027",balajihospital.net,022 2374 0000,10791,4.8
Gleneagles Hospital Mumbai,"35, Dr Ernest Borges Rd, opp. Shirodkar High School, Parel East, Parel, Mumbai, Maharashtra 400012",gleneagleshospitals.co.in,075488 10101,10791,4.8
