name,address,website,phone_number,reviews_count,reviews_average
Triveni Terrace Cafe,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",redcedarhospitality.com,099715 66904,5802,4.4
THE GREAT CAFE,"1 D, South, N Block, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",wa.me,,5802,4.4
Music & Mountains - Hillside Cafe & Cocktail Bar,"2nd floor, M 23, M Block Market, part 1, Greater Kailash, New Delhi, Delhi 110048",,098731 60659,5802,4.4
Signature Cafe Delhi,"Wongdhen house-15, 15 A, New Aruna Colony, Majnu-ka-tilla, New Aruna Nagar, Delhi, 110054",,081301 07523,5802,4.4
The Local Cafe Delhi,"opposite to 304, near Safal, Block R, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",thelocalcafe.in,079081 69136,5802,4.4
Cafe Tesu,"4, Sri Aurobindo Marg, near IIT Crossing, Vijay Mandal Enclave, Kalu Sarai, New Delhi, Delhi 110016",,098737 04704,5802,4.4
The Big Chill Cafe,"B-40, Rajiv Chowk, Block B, Connaught Place, New Delhi, Delhi 110001",thebigchillonline.com,011 4175 7075,5802,4.4
Rose Cafe,"264, Westend Marg, Butterfly Park, Saiyad Ul Ajaib Extension, Saket, New Delhi, Delhi 110030",,098990 55665,5802,4.4
AMA Cafe,"House no. 6, 1st Floor, Majnu-ka-tilla, New Aruna Nagar, New Delhi, Delhi 110054",,092891 08826,5802,4.4
Cafe Wink,"Sikka Galaxy, G-1, near Dav Public School, Shreshtha Vihar, Anand Vihar, New Delhi, Delhi, 110092",,,5802,4.4
