name,address,website,phone_number,reviews_count,reviews_average
,"Timmy Arcade, 778, Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",bombaytobarcelonalibrarycafe.com,077384 46788,2485,4.6
,"Shop No 6, New Kantwadi Rd, off Perry Cross Road, Bandra West, Mumbai, Maharashtra 400050",boojeecafe.com,099302 03882,2485,4.6
,"Shop No . 3, Vaibhav Palace CHS, New Link Rd, Oshiwara, Andheri West, Mumbai, Maharashtra 400102",,091361 16659,2485,4.6
,"20, Janki Kutir Apartment, Alongside Prithvi Theatre, Juhu Church Rd, Mumbai, Maharashtra 400049",,070459 40218,2485,4.6
,"10, Rope Walk Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",kgcafe.in,098338 03418,2485,4.6
,"New CHS Ltd, 12A/1, RL Kelkar Rd, Sion West, Sion, Mumbai, Maharashtra 400022",cafeistaa.com,022 2408 3386,2485,4.6
,"Equinox Tower 3, Lal Bahadur Shastri Road, Road, off BKC, Ambedkar Nagar, Kurla, Mumbai, Maharashtra 400070",thirdwavecoffeeroasters.com,089048 74344,2485,4.6
,"Jewel of chembur, Rd No. 1, opp. Bmc OFFice, near Natraj Cinema, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071",,022 6709 9977,2485,4.6
,"8th Floor, Tower 2A, One World Center, Lower Parel, Mumbai, Maharashtra 400013",,,2485,4.6
,"Corner View, 3, Dr.Ashok Chopra Marg, Opp. Bianca Towers, Amit Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061",leapingwindows.com,097699 98972,2485,4.6
