name,address,website,phone_number,reviews_count,reviews_average
Sparrows At Home Cafe,"First Floor, KM-01, Market, Hazipur, Sector 104, Noida, Uttar Pradesh 201304",sparrowsathome.in,084473 41898,997,4.2
Cafe 18,"Shop No G28, S Block, Pocket A, Sector 18, Noida, Uttar Pradesh 201301",zoma.to,098113 51161,997,4.2
Roastery Coffee House | Noida,"Bl004, Roastery Street, near OXYGEN BUSINESS PARK, Sector 144, Noida, Uttar Pradesh 201306",roasterycoffee.co.in,089296 49344,997,4.2
United Coffee House Rewind,"3RD FLOOR, Mall of India, D-428, Sector 18, Noida, Uttar Pradesh 201301",uchrewind.com,,997,4.2
The Haven International Coffee House,"Shop no 3, Plot no 10, Gardenia Gateway, Sector 75, Noida, Uttar Pradesh 201307",thehaveninternational.com,097170 59002,997,4.2
Cafe 99,"Shop No.1, 1st Floor, RN-12, near Fortis Hospital, Rasoolpur Nawada, Industrial Area, Sector 62, Noida, Uttar Pradesh 201301",,085869 05301,997,4.2
The Reader's Cafe,"3rd & 4th Floor, P-15, P Block, Pocket I, Sector 18, Noida, Uttar Pradesh 201301",thereaderscafe.in,075003 00303,997,4.2
Stress Free Cafe,"Lower Ground Floor, Metro Station, Spectrum Metro Mall, Stress Free Cafe, opposite Noida, Sector 50, Noida, Uttar Pradesh 201301",stressfreecafe.in,084548 70590,997,4.2
Wood Will Cafe,"SH-01, B Block, Gadarpur, Sector 46, Noida, Uttar Pradesh 201301",,070648 14185,997,4.2
Cafe Delhi Heights,"E-439, 3rd Floor, Dlf Mall Of India, Sector 18, Noida, Uttar Pradesh 201301",stores.cafedelhiheights.com,096437 54033,997,4.2
